商家名稱,地址,營業電話,營業時間,網址,描述,類別
curves 可爾姿 建國長春店,104 臺北市中山區建國北路二段74號3F,營業電話：0225152827,營業時間：請見官網上之營業時間,https://www.google.com.tw/maps/place/104 臺北市中山區建國北路二段74號3F,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (分店電話) *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：",
IN GYM 樂康健身俱樂部文山館,116 臺北市文山區景隆街36巷2號2樓,營業電話：0286632618,營業時間：AM 7:00  -  PM 11:00,https://www.google.com.tw/maps/place/116 臺北市文山區景隆街36巷2號2樓,本館位於台北市文山區，是一間身處文教區的健身房。有別於一般健身房的昏暗風格，IN GYM將第一間場館設置在四周都是對外落地窗的二樓空間，以450坪的大小來打造寬敞、舒適又明亮的運動環境。場館內設有自由重量訓練區、固定式器材訓練區、多功能綜合訓練區、心肺訓練區以及團體課程教室，提供會員種類多元的訓練器材及空間，營造健康優質的運動環境。 動滋券適用品項：運動場館-健身,
彼拉提斯公司 KX Pilates 內湖店,114 臺北市內湖區成功路四段6號2樓,營業電話：0227929968,營業時間：早上10點至晚間8點,https://www.google.com.tw/maps/place/114 臺北市內湖區成功路四段6號2樓,"座落於台北人的後花園，坐擁自然美景依山傍水，鄰近內湖捷運站交通便捷，生活機能優異，KX引進全球流行的動態彼拉提斯核心床訓練，為保障學員上課品質及安全, 課程採一人一床預約制，全課程由KX Academy培訓認證且教學經驗豐富的KX Pilates師資團隊授課，店內提供舒適淋浴間及廁所、置物櫃、吹風機等，讓你輕鬆運動，享受全身性訓練的暢快，邀請您一同感受KX彼拉提斯核心床的魅力！ 動滋券適用品項：運動場館-健身",
戀依佳瑜珈工作室,104 臺北市中山區民權西路70號5樓之1,營業電話：0225216365,營業時間：週一至週日/07:00-21:00,https://www.google.com.tw/maps/place/104 臺北市中山區民權西路70號5樓之1,戀依佳瑜珈教室是一間在民權西路站旁邊的瑜珈教室，承接各個年齡層的瑜珈練習者。 戀依佳的宗旨就是希望大家能夠快樂的練瑜珈，歡迎初學者與資深練習者們一起練習。 動滋券適用品項：,
Waypoint作伙-WP ZouHui,106 臺北市大安區和平東路二段46巷11號1樓,營業電話：0227366027,營業時間：08:00~20:00,https://www.google.com.tw/maps/place/106 臺北市大安區和平東路二段46巷11號1樓,以持續多變(Constantly Varied)、高強度(high Intensity)、實用性動作(Functional Movement)三大原則來帶給您日常生活必備的強健。 動滋券適用品項：運動場館-瑜珈,
舞動陽光博愛國小運動中心,110 臺北市信義區安康里松仁路９５巷２０號,營業電話：0287892525,營業時間：周一至周五>18:00-22:00    周六及周日>08:00-22:00,https://www.google.com.tw/maps/place/110 臺北市信義區安康里松仁路９５巷２０號,室內溫水游泳池全年對外開放 運動中心內綜合球場可租賃羽球、排球、足球、籃球、桌球與企業運動會、畢業典禮等運動場地租借活動。 動滋券適用品項：,
臺北市體育總會武術國術協會,106 臺北市大安區和平東路三段11號B1樓,營業電話：0227062300,營業時間：0930～1730（星期一～星期五）0900～1200（星期六～星期日）,https://www.google.com.tw/maps/place/106 臺北市大安區和平東路三段11號B1樓,「中華武術研究發展協會&臺北市體育總會武術國術協會&臺北市武術協會聯合辦公室」 這是一個讓所以武術同好們能暢所欲言、相互交流的地方!! 動滋券適用品項：,
ISPORTS愛健身俱樂部,100 臺北市中正區仁愛路一段38號1樓,營業電話：0223939933,營業時間：12:00~23:00,https://www.google.com.tw/maps/place/100 臺北市中正區仁愛路一段38號1樓,ISPORTS愛健身俱樂部是新形態精品中型健身房，有別於其他健身房型態！ 我們以用心經營的態度為消費者營造更完善的休閒體驗，讓消費者感受到賓至如歸。 動滋券適用品項：,
Yogiocean,104 臺北市中山區松江路315號4樓,營業電話：0225169991,營業時間：0900~2100,https://www.google.com.tw/maps/place/104 臺北市中山區松江路315號4樓,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
諧動健康科技股份有限公司大安分公司,106 臺北市大安區信義路二段７４號１０樓,營業電話：0223569462,營業時間：08:00-22:00,https://www.google.com.tw/maps/place/106 臺北市大安區信義路二段７４號１０樓,1. 科學化重訓 2. 體態雕塑 3. 功能性訓練 3. 柔軟體操 4. 運動整復 5. 客製化1對1～3課程與小班制團體課以及企業包班 動滋券適用品項：運動場館-健身,
SWeet*慢走體適能,111 臺北市士林區中山北路六段284號,營業電話：0228386603,營業時間：週一～週五9:00-22:00/週六、日10:00-18:00,https://www.google.com.tw/maps/place/111 臺北市士林區中山北路六段284號,您好，我們是Sweet*慢走 慢走提供專業體適能課程 以及其他多元的運動課程 享受運動帶來的身體變化 好的體態陪你活得更有自信 好的身體陪你走過更多精彩 Slowly Walk & Enjoy Every Time 動滋券適用品項：,
Curves可爾姿女性30分鐘運動中心 社子延北店,111 臺北市士林區延平北路5段307號2樓,營業電話：0228133066,營業時間：運動指導及服務週一至週五 14:30~20:30; 週六 10:00~13:00,https://www.google.com.tw/maps/place/111 臺北市士林區延平北路5段307號2樓,"Curves是專為女性設計的30分鐘環狀運動，結合有氧、肌力、伸展三合一的完整訓練，我們承諾提供一個充滿愛與支持的環境，從運動開始，讓所有接觸到Curves的人，勇於蛻變綻放價值。 動滋券適用品項：運動場館-綜合運動中心,運動保健",
體線運動,105 臺北市松山區南京東路4段186號6樓之9,營業電話：0227488928,營業時間：9:00~19:00,https://www.google.com.tw/maps/place/105 臺北市松山區南京東路4段186號6樓之9,"普拉提全器械教室,一對一和團體課程，開放線上預約 配置專屬休息區、微波爐、冰箱、咖啡機、置物櫃、逆滲透飲水機。 動滋券適用品項：",
BELIEF IT運動工作室,116 臺北市文山區和平東路四段389號1樓,營業電話：0222309008,營業時間：週一至週六 08:00-22:00 週日公休,https://www.google.com.tw/maps/place/116 臺北市文山區和平東路四段389號1樓,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
Air fitness,110 臺北市信義區信義路3段3號2樓之1,營業電話：0227099469,營業時間：09:00-21:00,https://www.google.com.tw/maps/place/110 臺北市信義區信義路3段3號2樓之1,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
anytime fitness信義安和店,106 臺北市大安區信義路四段279號B1,營業電話：0227032803,營業時間：24小時,https://www.google.com.tw/maps/place/106 臺北市大安區信義路四段279號B1,在你快速的步調與忙碌的生活中，我們能夠滿足你的需求，你可以在適合自己的時間隨時運動，無論是清晨或是深夜！我們的健身房每個星期 7 天，每天 24 小時的營業，全年無休。 動滋券適用品項：,
完美線條,106 臺北市大安區忠孝東路四段170巷6弄5號2F,營業電話：0918094746,營業時間：09:30~21:30,https://www.google.com.tw/maps/place/106 臺北市大安區忠孝東路四段170巷6弄5號2F,我們是位於忠孝敦化的跳床運動教室 想知道明星們維持身材的秘密🤔 全身燃脂跳床運動 適合5種人： ♥️可以讓你身形變小，大腿🦵變細 ♥️想瘦快一點點的人 ♥️沒有時間運動的人 ♥️吃貨 ♥️喜歡流汗的人 動滋券適用品項：,
中國青年救國團臺北市中山運動中心,104 臺北市中山區臺北市 中山區 中山北路２段４４巷２號,營業電話：0225811060,營業時間：0600-2200,https://www.google.com.tw/maps/place/104 臺北市中山區臺北市 中山區 中山北路２段４４巷２號,"臺北市中山運動中心係臺北市政府為提升市民健康體能、打造健康城市政策、養成市民終身運動習慣，達到全民運動目的所興建的第一座市民運動中心 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,球類_羽球,球類_籃/排球,水域運動_游泳","動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,球類_羽球,球類_籃/排球,水域運動_游泳"
【綺迪樂】文創親子桌遊,104 臺北市中山區建國北路２段90號5樓,營業電話：0225033333,營業時間：平日8:00-1700,https://www.google.com.tw/maps/place/104 臺北市中山區建國北路２段90號5樓,綺迪樂益智棋類、卡牌、桌遊規則簡單易懂，富含教育意義、歡樂刺激、人與人趣味互動! 可以邊玩邊學讓多位職能治療師、學校、兒科醫生推薦綺迪樂商品，很適合親子、朋友、樂齡等朋友一起同樂! 動滋券適用品項：,
