商家名稱,地址,營業電話,營業時間,網址,描述,類別
AXIS FITNESS,106 臺北市大安區忠孝東路三段249-1號2樓,營業電話：0227711717,營業時間：10:00-22:00,https://www.axisfitness.com.tw/,"""AXIS打造您的運動品質， 從評估➡️矯正➡️訓練➡️回復 提供系統化、客製化五星級的服務： ⭐️1對1/2/3VIP私人教練課程。 ⭐️尊榮VIP課程。 ⭐️4-6人精緻團體班。 內容： 🔸Redcord 紅繩懸吊系統訓練。 🔸矯正式運動。 🔸核心活化訓練。 🔸強化肌力重量訓練。 🔸專項選手規劃訓練。 🔸曲線雕塑整體規劃。 🔸增肌減脂課程。 🔸放鬆舒壓運動按摩。"" 動滋券適用品項：運動保健",
小哈瓦那舞蹈工作室,106 臺北市大安區忠孝東路四段293號八樓之四,營業電話：0935759905,營業時間：13:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,小哈瓦那舞蹈工作室致力於拉丁美洲文化、音樂及舞蹈推廣，提供業餘愛好者的交流與學習平台。 動滋券適用品項：,
練健康,104 臺北市中山區南京東路3段29號地下1層,營業電話：0225074196,營業時間：13:30-22:00,https://www.l-kk.tw/,台灣已經邁入人口老齡化社會，我們提供中高齡訓練、特殊族群訓練 讓您未來生活獨立自主又活得有尊嚴。 我們深信「健康是練出來的」，期待讓訓練變成你我的日常。 動滋券適用品項：,
找時間動一動俱樂部,104 臺北市中山區明水路581巷27號地下一層,營業電話：0225339979,營業時間：1000-2200,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,https://www.facebook.com/Find-Time-%E6%89%BE%E6%99%82%E9%96%93%E5%8B%95%E4%B8%80%E5%8B%95%E4%BF%B1%E6%A8%82%E9%83%A8-491907834543342 動滋券適用品項：,
住海邊潛水,114 臺北市內湖區環山路三段26號,營業電話：0226575277,營業時間：13-21,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,住海邊潛水中心提供最強大的潛水師資、精緻的教學品質、優質的教學環境，不壓縮學習時間，讓學習潛水不再是一種壓力及恐懼，以學習效果為第一要求，安全為主要目標 － 學好潛水，也可以很悠閒！ ​ 最多元的PADI系統課程－水肺潛水，自由潛水，技術潛水、循環密閉潛水，教練發展課程等。課程皆可依照您的時間及需求安排，潛水學習不再有時間及學習壓力。 動滋券適用品項：,
Curves 台大公館店,100 臺北市中正區羅斯福路４段６４號４樓,營業電話：0223681100,營業時間：周一至周五12:00-13:30 15:30-21:00 周六10:00-13:,https://www.curves.com.tw/,"Curves是專為女性設計的30分鐘環狀運動。我們提供給女性簡單、快速又有效的運動方式，透過有氧+肌力+伸展三合一的完整訓練，在女性教練的陪伴之下，輕鬆養成運動習慣，讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (分店電話)0223681100 *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：",
We Sport,115 臺北市南港區重陽路122號地下1樓及122號1至6樓,營業電話：0226539847,營業時間：09:00-22:00,https://www.the-we-hotel.com.tw/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
百香果時,100 臺北市中正區漢口街一段110號9樓之13,營業電話：0922053366,營業時間：9:00~17:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,《百香果時。Passion Session》戶外活動專業規劃 百香果時的教練群熱愛各種戶外運動，擅長規劃公司學校團體team building活動、好友包團活動，有豐富的教育工作經驗，喜歡和孩子一起工作、對話、分享、生活。除了平時的戶外活動，每年寒暑假，我們也規劃一系列主題式營隊，在營隊中一起遊戲一起創作、一起挑戰一起冒險。 代理銷售品牌： 【Shark SUPs】高品質價格親民的SUP裝備 【ION】全系列水上運動配件、專業防寒衣、毛巾衣、腳繩......等。 服務項目： 1.提供各項戶外運動體驗，包括SUP教學體驗、定向越野訓練...等等。 2.每年寒暑假推出寒暑期營隊活動。 3.提供各種活動規劃包團行程，歡迎學校、團體、企業、或組團報名。 4.提供Shark SUPs裝備出租、出售。 5.銷售ION水上運動周邊商品(各式專業防寒衣、外套、毛巾衣、腳繩等等) 有關活動規劃或裝備租借、購買相關問題，歡迎直接於粉專私訊， 或e-mail：supplay99@gmail.com 動滋券適用品項：戶外運動類_其他戶外運動,動滋券適用品項：戶外運動類_其他戶外運動
Curves士林店,111 臺北市士林區中山北路５段６８７號２樓之１,營業電話：0228341248,營業時間：一~五 10：00~13：00 15：30~20：30 六09：00~12：00,https://www.curves.com.tw/,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (02)2834-1248 *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：",
A fitness 改變健身,111 臺北市士林區基河路138號,營業電話：0228801314,營業時間：週一-週六 08:00-22:00,https://instagram.com/afitness138?igshid=YmMyMTA2M2Y=,A Fit | 改變健身 | 是由3位專業教練合作辦的嶄新形態健身中心，年輕、充滿熱忱、獲獎無數、並擁有專業證照，平均擔任健身教練資歷超過5年，服務學員時數超過2萬小時。除了綜合訓練的經驗豐富，各自專攻的重訓、健力、舉重、拳擊等運動教學，不僅改變你對健身中心的想像，也會幫助你改變自己的人生。 動滋券適用品項：,
年代售票,114 臺北市內湖區瑞湖街39號4樓,營業電話：02-2341-9898,營業時間：週一至週五09:00-18:00,https://ticket.com.tw/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
memopresso,104 臺北市中山區復興北路48號11樓之2,營業電話：0237655060,營業時間：11:00AM - 22:00AM,https://www.memopresso.com/,MEMOPRESSO 透過智慧零售與 OMO (Offline-Merge-Online)模式提供嶄新的回憶保存方式 從文青風格的純白相框，或是套用上百種插畫家設計 甚至期間限定的偶像合作，拉近你與偶像的距離 都能創造屬於自己的個性化回憶，保存有價值的美好時光 動滋券適用品項：,
ATHL亞士力運動,100 臺北市中正區西藏路37號3樓,營業電話：0952386133,營業時間：10:00~24:00,https://www.athletetw.com/pages/class,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",動滋券適用品項：球類_籃/排球
健康美氧身工坊股份有限公司,104 臺北市中山區南京東路二段172號4樓,營業電話：0225052777,營業時間：7：30～21：30,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,有氧 瑜珈 韻律教室 美容SPA 專屬女性的運動保養空間 盡在健康美氧身工坊 動滋券適用品項：其他_運動舞蹈,
Curves 可爾姿南港店,115 臺北市南港區忠孝東路七段299號5樓,營業電話：0227833166,營業時間：12-21,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"Curves是專為女性設計的30分鐘環狀運動,結合有氧+肌力+伸展三合一的完整訓練，提供給女性有效、方便、有趣的運動方式。 更棒的是，透過Curves教練及會員彼此間的鼓勵、支持，讓這30分鐘變成心靈、情感的充實時間，也讓運動成為生活的一部分。 我們承諾提供一個充滿愛與支持的環境，從運動開始，讓所有接觸到Curves的人，勇於蛻變綻放價值。 動滋券適用品項：",
成吉思汗俱樂部,105 臺北市松山區民生東路５段１４９號地下一層,營業電話：0227668898,營業時間：24小時,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
Switch ON 妳的運動空間,110 臺北市信義區忠孝東路五段625號,營業電話：0287855551,營業時間：0900-2200,https://www.instagram.com/switchon_taiwan/,"Switch ON 是一個女性運動教室及訓練空間，也是全台第一間女性分鐘計費健身房 我們提供給不同程度的女性安全的運動環境， 不管是健身初學者害怕踏入健身房的人， 還是健身老手想要持續進步的人，都可以來這裡運動。 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心",
中華電信HAMI VIDEO,100 臺北市中正區東門里15鄰仁愛路1段42號,營業電話：0800080123,營業時間：Chunghwa Telecom Co Ltd,https://hamivideo.hinet.net/,中華電信Hami Video網羅多項獨家熱門運動賽事超過癮!集結國內外最夯運動內容，賽事隨身看，精彩不間斷。包含HBL、NBA、中華職棒、MLB美國職棒、歐冠/歐霸、英超、F1、網球大滿貫賽事等。 動滋券適用品項：,
Curves可爾姿內湖東湖店,114 臺北市內湖區臺北市 內湖區 安湖里東湖路３３巷１７號１樓,營業電話：0226310798,營業時間：請詳見官網上公告之營業時間,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式, 透過有氧 +肌力 +伸展三合一的完整訓練, 在女性教練的陪伴之下,輕鬆養成運動習慣, 讓妳更健康、更自信、更快樂 ,是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (02-2631-0798) *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：運動場館-樂齡/兒童綜合體適能(含親子場館)",
WONDERLAND,台北市中山區長安東路二段184號3樓之一,營業電話：(02)27407070,營業時間：10:00~22:00,https://www.instagram.com/wonderland.gym/,‼️全面採預約制‼️ ｜私人專屬體態調整｜預約制課程空間 ｜團體課程｜場地租借｜客製化企業包班(時間能挑選再做詳談）➣ IG小盒子詢問 ▫️瑜珈 ▫️舞蹈 ▫️肌肉雕塑 ▫️TRX團體瘦身 －𝙒𝙤𝙣𝙙𝙚𝙧𝙡𝙖𝙣𝙙 𝙜𝙮𝙢－ 📍 台北市中山區長安東路二段184號3樓之一 ☎️ 02-2740-7070 動滋券適用品項：,
賓士旅行社有限公司,104 臺北市中山區松江路80號4樓、12樓,營業電話：0266050612,營業時間：0900-1800,https://www.goodtour.com.tw/,不分男女、不分老少，台灣的山林、台灣的海洋，全世界，只要有陽光照得到的地方，都是我們想到達的地方。而除了山野健行、生態探索、新手百岳等行程，也推出國外登山健行、國內溯溪、潛水，喜歡深度旅遊的你，來跟我們「野」在一起，越「野」越快樂！ 動滋券適用品項：,
中華武術散打搏擊協會,111 臺北市士林區芝玉路一段197巷18號1樓,營業電話：88661621,營業時間：周一到周五1300-2200,https://www.sanda.org.tw/html/index.htm,"本會為依法設立，非以營利為目的之社會團體。 本會宗旨：研習中華武術之精髓，宏揚固有武德之精神，並溶入國際強力技擊-泰拳格鬥精華,綜合現代技擊武術競賽體育科學，提昇專業技術之水準、推展「散打搏擊」及業餘泰拳之運動全民化，以達術德兼修，文武合一之境界。 動滋券適用品項：辦比賽",
YouBike微笑單車,台北市松山區民生東路三段138號10樓,營業電話：0289785088,營業時間：24小時,https://www.youbike.com.tw,「YouBike 微笑單車」為提供 24H 甲租乙還租賃服務的電子無人自動化管理公共自行車系統，以優質的營運服務、舒適好騎的自行車、方便註冊與使用之特點，鼓勵民眾改變出行習慣，使用大眾運輸系統，降低交通壅塞度，同時能夠環保節能，創造永續智慧交通環境。 動滋券適用品項：,
睿捷行銷有限公司,112 臺北市北投區大同街232號5樓之一,營業電話：0935297322,營業時間：12:00~21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
擊客基地,105 臺北市松山區復興北路369號地下室,營業電話：0225472523,營業時間：一到五10:00-22:00; 六10:00-18:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
舞動陽光大同運動中心,103 臺北市大同區 蓬萊里大龍街５１號,營業電話：0225920055,營業時間：全年06:00-22:00,https://dtsc-wdyg.com.tw/,臺北市第十座市民運動中心－「大同運動中心」位於台北市最早開發、文化古蹟最豐富的行政區中，擁有享譽國際的孔廟、大龍峒保安宮，以及南北貨集散地的迪化街、大稻埕碼頭、圓環等 5樓：羽球場及溜冰場 4樓：舞蹈教室 3樓：體適能中心 2樓：國際會議廳、智能運動教室、多功能綜合球場 1樓：客服中心、社區教室、飛輪教室 、運動恢復室、兒童遊戲室、對話餐廳 B1：閱覽區、棋藝空間、家長休息區 B2：溫水游泳池 B3：停車場 動滋券適用品項：,
熙爾彼拉提斯工作室,112 臺北市北投區中山路1之7號4樓之6,營業電話：0972025915,營業時間：週一至週五（預約制）,https://healer-pilates.com,我們是位於北投的彼拉提斯工作室，提供高品質的皮拉提斯全器械課程。另外還提供脊椎側彎皮拉提斯、墊上嬋柔等課程。 動滋券適用品項：,
Fitmania健身狂潮,110 臺北市信義區信義路四段456號地下一樓,營業電話：0287864488,營業時間：08:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
群康彼拉提斯,111 臺北市士林區天母西路41巷2號B1樓,營業電話：0228735030,營業時間：群康健康事業有限公司,http://www.smartcarepilates.com/,追求根本的解方 成就人生的感動 Reach Solution Touch Fruition 彼拉提斯是一項讓身心變得更聰明的運動， 結合東方武術和西方醫學的精華， 強調身體的控制哲學，由內而外， 深層地提供好的姿勢，足夠的肌力和控制力， 並且透過身心互動，讓身心靈都均衡， 群康的英文名字SmartCare因此而生。 動滋券適用品項：,
特普希可瑞有限公司附設臺北市私立來跳舞舞蹈短期補習班,106 臺北市大安區忠孝東路四段176號12樓,營業電話：0287732658,營業時間：11:00~20:00,https://www.letsdance.com.tw/,金舞學院-來跳舞教室，我們的初衷就是讓大多數想認識自己身體的人們創造一個良好的學習環境，能夠透過學舞的過程認識自己的肢體美感，進而享受身體與音樂合而為一的幸福律動。於是集結一群充滿熱情有活力的專業師資群來協助學員自我發掘，跳舞真的是最簡單的幸福，讓我們來協助您、一起把屬於您最美麗的Pose找出來吧！,
SUPERACE,100 臺北市中正區羅斯福路一段102號3樓,營業電話：23515319,營業時間：9:30-18:00,https://www.superace-sport.com/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單","動滋券適用品項：戶外運動類_馬拉松/路跑,辦比賽"
駭客ROG旗艦店,112 臺北市北投區石牌路2段90巷17號1樓,營業電話：LINE: @507lxmjw,營業時間：24小時營業,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
健諾克有限公司,114 臺北市內湖區民權東路六段160號6樓之1B室,營業電話：0227942644,營業時間：9:00-18:00,https://www.myfitnessnook.com/,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
初練健身工作室,106 臺北市大安區復興南路一段62號三樓,營業電話：0227751678,營業時間：10-22,https://www.shop1688.com.tw/aom20210426037/,初練健身工作室，創立於2021年，秉持著對健身的熱情與堅持，致力提供高品質訓練與正確且能長期維持的健康生活型態而創立的健身工作室。 寬敞明亮、舒適又隱私的運動空間，搭配經驗豐富的專業教練群，為學員打造最佳訓練環境與量身定制高效健身課表。 動滋券適用品項：,
麥克王運動訓練班,"114 臺北市內湖區1F., No.6, Ln. 65, Jiangnan St., Neihu D",營業電話：0952060219,營業時間：周一至周日12:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單","動滋券適用品項：運動場館-綜合運動中心,格鬥類_柔道/空手道/跆拳道/拳擊/國術/武術"
艾珈堤瑜珈,111 臺北市士林區臺北市 士林區 福德里中正路２８７號３樓,營業電話：28891966,營業時間：07:00-21:30,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
水貝比親子坊,114 臺北市內湖區文德路155號,營業電話：0227996910,營業時間：9:30-18:30,https://www.babyiswim.com.tw/index.php,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
PQ FITNESS,111 臺北市士林區忠誠路一段60號B1F,營業電話：0228311138,營業時間：07:00~23:00,https://pqfitness.com.tw/,"Be Patient High Quality PQ Fitness於2022年發跡於天母,耐心與高品質為本館核心理念!本場館創辦人為具備醫療背景之專家,讓學員接受最專業合適的訓練是我們的義務,也是您的權利!我們致力於幫助學員達到訓練目標,藉由專業教練系統性的帶領,達到增肌減脂的成果,進而提升生活品質,甚至完成健美、健力、舉重等各類健身運動。",
PUZZLE GYM拍手健身房,111 臺北市士林區天母東路45之1號1樓,營業電話：0228710061,營業時間：10:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
萊德運動顧問有限公司,104 臺北市中山區龍江路412巷35號1樓,營業電話：0920303107,營業時間：週一至週日上午10點至下午5點,https://www.instagram.com/ryderbmxschool/,台灣首家極限單車教學公司，目前大多於南港極限運動場租借場地教課，近期也推廣至外縣市教學。 動滋券適用品項：,
獅子王桌球光復館,106 臺北市大安區光復南路４３８號地下１樓,營業電話：0227040128,營業時間：平日13:00-21:00 假日09:00-21:00,http://www.lionking-tt.com/auto_page.aspx?id=pxhz5d9srza5r,您所未見過的時尚桌球環境，專業寬敞的教學場地、舒適的休息空間、童趣的幼教遊戲區，一切用心只為帶給您最優質的運動環境。 動滋券適用品項：,
EnJoin',104 臺北市中山區吉林路309號一樓,營業電話：0266172566,營業時間：09:00-18:00,https://enjoin.tw/,#關於我們 人生不只工作，還有太多想要探索的事物，EnJoin’ 希望能充實更多下班生活 熱騰騰的空間場地與一系列活動會陸續推出 EnJoin’ 探索外在的世界，挖掘內在的超凡脫俗 #career #workshop 探索各種職涯的可能 透過系列講座、讀書會、活動分享，激發各種人生的職涯可能 #fitness #breathe #bouldering 每個生命都需要身心平衡 呼吸、靜坐、正念、體適能、抱石等各種體驗等你加入 #playground #space 遊戲場與活動空間 規劃親子活動並提供演奏、策展、租借場地等空間服務 即刻行動 我們精心設計所有細節，推出讚不絕口的活動體驗 關於空間體驗，有別於一般場地租借 EnJoin’ 更期待營造出一個放鬆、自在的環境 動滋券適用品項：其他_運動舞蹈,
