商家名稱,地址,營業電話,營業時間,網址,描述,類別
舞動陽光-師大附中運動中心,106 臺北市大安區和安里信義路３段１４３號,營業電話：0227086000,營業時間：06:00-22:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
體育客,110 臺北市信義區信義區和平東路三段333號b1,營業電話：0287326645,營業時間：AM07:00~PM11:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"體育客 致力於讓運動回歸單純與美好的健身中心 提供多元豐富的訓練設施及最優質的環境 價格透明，無論小額分鐘計費或按月扣款能滿足各種使用習慣 動滋券適用品項：運動場館-綜合運動中心,運動場館-樂齡/兒童綜合體適能(含親子場館),運動保健",
Curves可爾姿圓山花博店,103 臺北市大同區承德路３段223-1號,營業電話：0225997138,營業時間：一~五11:15-13:00/15:30-20:45 六 10:00-13:00,https://www.curves.com.tw/,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (分店電話) *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：",
泰泓國際股份有限公司,103 臺北市大同區敦煌路84號1樓,營業電話：0277099948,營業時間：09:00-18:30,http://www.speedstacks.com.tw,推廣競技疊杯運動、舉辦競技疊杯運動賽事、競技疊杯運動表演 、選手訓練、營隊活動、租賃器材等等 動滋券適用品項：,
躾學,105 臺北市松山區塔悠路225號,營業電話：0227482218,營業時間：10:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
施化難陀有限公司附設臺北市私立境瑜珈短期補習班,100 臺北市中正區仁愛路2段110號3樓,營業電話：0233226200,營業時間：08:30~21:30,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,瑜珈境Sivananda Yoga Studio 傳承來自印度的正宗瑜珈知識及哲學 教導紮實有深度有系統化的專業課程 引領學員們邁向身心能量平衡 豐盛喜悅的瑜珈生活💖 RYT200.RYT300.丙級瑜珈師資證照.乙級瑜珈師資證照.脈輪研習.瑜珈大眾課.印度遊學團 動滋券適用品項：協會_其他體育運動協會,
中華民國羽球協會,104 臺北市中山區朱崙街20號810室,營業電話：0287711440,營業時間：09:30-17:30,https://www.ctb.org.tw/,中華民國羽球協會（英語：Chinese Taipei Badminton Association，直譯：中華臺北羽球協會，CTBA），簡稱中華羽協，成立於1973年3月16日，首任理事長為前中華民國參謀總長彭孟緝。中華民國半官方的運動組織，隸屬中華民國體育運動總會，主要負責與羽球有關的相關事宜，包含推廣羽球運動、舉辦全國性及國際性之羽球比賽、選拔及培訓代表隊成員參與國際賽事。 動滋券適用品項：,
臺北市信義運動中心,110 臺北市信義區松勤街100號,營業電話：0287861911,營業時間：06:00-22:00(除夕、初一休館),https://xysc.teamxports.com/,"臺北市信義運動中心係由台北市政府以OT方式委由崇越科技旗下的全越運動事業股份有限公司經營管理之運動場館，於 2022年12月10日重新開幕營運。 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,運動場館-樂齡/兒童綜合體適能(含親子場館),球類_羽球,球類_籃/排球,球類_桌球,水域運動_游泳,水域運動_水上安全救生,水域運動_其他水域運動,運動保健,售票平台,辦比賽,傳播媒體,其他_運動舞蹈,其他_其他","動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,運動場館-樂齡/兒童綜合體適能(含親子場館),球類_羽球,球類_籃/排球,球類_桌球,水域運動_游泳,水域運動_水上安全救生,水域運動_其他水域運動,運動保健,售票平台,辦比賽,傳播媒體,其他_運動舞蹈,其他_其他"
破圈運動行銷股份有限公司,114 臺北市內湖區港墘路221巷41號6樓之1,營業電話：0225502696,營業時間：週一到週五 上午10點-下午6點,https://bao-ming.com/eb/index,"主要內容前往主要內容
			
			
				
					
						
							
								
									
									動滋網
								
							
						
					
					
						
							
								
									
										
											 首頁首頁
											
											動滋說明動滋說明
											合作店家合作店家
											我的青春動滋券我的青春動滋券
											網站導覽網站導覽
											|
											優惠店家專區優惠店家專區
											課程專區課程專區
											合作店家登入合作店家登入
											
											合作店家收券掃票機
										
									
								
								
									主選單",
Curves可爾姿內湖西湖店,114 臺北市內湖區臺北市內湖區內湖路一段360巷15號7樓之4,營業電話：0226276550,營業時間：見官網,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (02)26276550 *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：運動場館-健身",
麗華行電競旗艦館,105 臺北市松山區光復北路28號2、3、4樓,營業電話：0225795916,營業時間：24Hr,http://www.lhhcybercafe.com/,"斥資兩千萬打造超狂電競天堂-麗華行電競旗艦館 本館為台北第一家合法網咖，整棟四個樓層，共計153個座位。頂級優質電腦設備，穩定快速網路品質，結合專業品牌咖啡及精緻美食，豐富餐飲 ，提供 電競賽事、健康休閒、數位學習、影視追劇、搶課搶票 等多元服務, 享受更高的休閒生活品質！ 本館3F 新設 VIP 座位區 , 座位寬敞舒適 , 適合 電競, 商務, 追劇, 影音 , 閱讀 , 搶課, 搶票 , 約會, 休閒的好地方 本館 創立於1991年, 23年來獲獎無數, 也受多家國內外電視媒體、報章雜誌、youtuber推薦報導，連續數年榮獲經濟部「優良網咖評鑑」公開表揚、台北市政府體育局輔導計畫-優質電競場所、更是國際大廠NVIDIA白金級認證網咖。",
